Hash;Publication Date;Title;Description;Link
7dbb93f4ebf53c490693725a3ecec56e;Jul 26, 2022; 7 Ways to Get and Improve Fast Feedback;Here’s how to get the rapid feedback you need to ensure you build the right product.;https://www.mountaingoatsoftware.com/blog/7-ways-to-get-and-improve-fast-feedback
6e5edf7b2ae9969bc01200d4046aefe7;Jul 12, 2022;For Better Agile Planning, Be Collaborative;The best plans are created by developers and stakeholders working together.;https://www.mountaingoatsoftware.com/blog/for-better-agile-planning-be-collaborative
ac2d2c60e2365d2229f23bc6de6c9387;Jun 28, 2022;Clarifying the Relationship between Definition of Done and Conditions of Satisfaction;I'd like to clarify the relationship between two important concepts: a team's Definition of Done …;https://www.mountaingoatsoftware.com/blog/clarifying-the-relationship-between-definition-of-done-and-conditions-of-sa
05ce2e3492cc53ce12bc2ed8f1623f16;Jun 21, 2022;3 Ways to Help Agile Teams Plan Despite Uncertainty;We might not like ambiguity, but it’s a fact of life. Find out how to plan with uncertainty in mind.;https://www.mountaingoatsoftware.com/blog/3-ways-to-help-agile-teams-plan-despite-uncertainty
ba6ad04af85677084969c37d0b03756e;Jun 07, 2022;Scrum, Remote Teams, & Success: Five Ways to Have All Three;In a remote-first world, how does an agile team thrive working in a virtual, distributed way?;https://www.mountaingoatsoftware.com/blog/scrum-remote-teams-success-five-ways-to-have-all-three
0e90daa6e929900d3aa54df938bb2386;May 31, 2022;Announcing the New Agile Mentors Podcast;Don’t miss this new podcast from the Scrum and agile experts at Mountain Goat Software. ;https://www.mountaingoatsoftware.com/blog/announcing-the-new-agile-mentors-podcast
fcb0e1208c1a1a0d27c2064853f73919;May 17, 2022;Four Reasons Agile Teams Estimate Product Backlog Items;Estimating product backlog items provides benefits beyond predicting when a project will be finished.;https://www.mountaingoatsoftware.com/blog/four-reasons-agile-teams-estimate-product-backlog-items
35955d92417b785a4e56521150783b09;May 03, 2022;Seven Tips for Running a Virtual Daily Scrum;How do you effectively facilitate a daily scrum with a remote team?;https://www.mountaingoatsoftware.com/blog/seven-tips-for-running-a-virtual-daily-scrum
20cfddf865484a601275c706d7201ca6;Apr 19, 2022;What Is a High-Performing Agile Team?;How to build and sustain a Scrum team that exceeds the sum of its parts.;https://www.mountaingoatsoftware.com/blog/what-is-a-high-performing-agile-team
7b300c57cc1fb094c26fe3f1ba60aef3;Apr 05, 2022;What Does Scrum Mean by Cross Functional Teams?;What exactly does cross functional mean and why does it matter?;https://www.mountaingoatsoftware.com/blog/what-does-scrum-mean-by-cross-functional-teams
6cd4498f27312e248fc2d9c2d29b1d8b;Mar 31, 2022;Announcing Agile NFTs;Finally–agile NFTs are here. Check them out before they’re gone.;https://www.mountaingoatsoftware.com/blog/announcing-agile-nfts
f25e6629435a7a4e611a15d7c426dbd7;Mar 22, 2022;How Implementation Intentions Help My Sprints;Planning an exact time to do something within a sprint helps make sure you get the important stuff …;https://www.mountaingoatsoftware.com/blog/how-implementation-intentions-help-my-sprints
037f61419840b98c6ae8b4aac76e46c5;Mar 08, 2022;Top 7 Ways to Get Stakeholders to Attend Sprint Reviews;Poorly attended sprint reviews cause real problems. Fortunately there are easy fixes.;https://www.mountaingoatsoftware.com/blog/top-7-ways-to-get-stakeholders-to-attend-sprint-reviews
5d86fd58aba76c6bd1a3a70f8a610e7d;Date is not found!;How to Create Self-Sufficient Scrum Teams;Description is not found!;https://www.mountaingoatsoftware.com/blog/how-to-create-self-sufficient-scrum-teams
e5ad2d0919b1bb5cf03fa9a9cf8581d2;Feb 08, 2022;My Favorite Hard Questions to Ask When Making a Decision;Asking hard questions is a great way to confirm the right decision is being made.;https://www.mountaingoatsoftware.com/blog/my-favorite-hard-questions-to-ask-when-making-a-decision
82ec7b3bb2c058db85ee136ead1405cd;Feb 01, 2022;Retrospecting with a Quiet Team;How to run a Retrospective when your team won't talk.;https://www.mountaingoatsoftware.com/blog/retrospecting-with-a-quiet-team
439c591b6e8e188deb7eac1cf353b9b7;Jan 25, 2022;My Most Popular Posts of 2021;Here are my top ten blog posts from last year based on comments and views.;https://www.mountaingoatsoftware.com/blog/my-most-popular-posts-of-2021
96478ed4a729cb35009bd9944ec4320c;Jan 11, 2022;Dependencies Are Killing Your Agile Flow at Scale;How do you squeeze out the waste and get the most significant improvement in flow at scale?;https://www.mountaingoatsoftware.com/blog/dependencies-are-killing-your-agile-flow-at-scale
e8b97f62ea94ccde520409ae5359f406;Dec 21, 2021;How To Coach Your Team to Run a Daily Scrum Meeting When You Cannot Attend;Coaching your team to run a daily scrum without you.;https://www.mountaingoatsoftware.com/blog/how-to-coach-your-team-to-run-a-daily-scrum-meeting-when-you-cannot-attend
ed4c41ed4488a6619fb65909f38ca5f5;Dec 07, 2021;New Live, Online Courses: Better User Stories, and Planning Fixed-Price Projects;Two new live, online courses are coming soon. ;https://www.mountaingoatsoftware.com/blog/new-live-online-courses-better-user-stories-and-planning-fixed-price-projects
a694abc55268c52e09a9abbef31b9381;Nov 23, 2021;Automatically Triangulating Estimates in Planning Poker;Comparing estimates during Planning Poker just got easier. ;https://www.mountaingoatsoftware.com/blog/automatically-triangulating-estimates-in-planning-poker
2027c3111dbc13f3c3b32f0ce3caef95;Nov 17, 2021;Estimating with Story Points Course Available for One Week;Registrations are now open to Estimating with Story Points.;https://www.mountaingoatsoftware.com/blog/estimating-with-story-points-course-available-for-one-week
447142b9b38064ecfdbe7182400ca159;Nov 16, 2021;Are People Problems Creating Estimating Problems?;To create great estimates, you need to know that estimating is a human task, and humans can be complicated.;https://www.mountaingoatsoftware.com/blog/are-people-problems-creating-estimating-problems
cd68d09b4f4ce228f08f5e2f2af4cbf1;Nov 11, 2021;Does the Perfect Estimate Exist? (Free Video Training);For a limited time, you can access free video training for creating estimates with story points.;https://www.mountaingoatsoftware.com/blog/does-the-perfect-estimate-exist-free-video-training
e6ca695c86a413774f6ba93f506641b5;Nov 09, 2021;The Five Possible Estimates and Which One Your Team Should Use;Unless team members have discussed it, they are almost certainly providing different types of estimates.;https://www.mountaingoatsoftware.com/blog/the-five-possible-estimates-and-which-one-your-team-should-use
1e9ed5b2626c8d317115a1634ebb93cf;Nov 02, 2021;The Product Owner’s Second Team;Successful product owners will see their stakeholders as a team, not merely a set of individuals.;https://www.mountaingoatsoftware.com/blog/the-product-owners-second-team
a35527c72f5320cdee9497a358e64905;Oct 26, 2021;Are Fixed-Price Projects Agile?;Fixed-price projects may seem at odds with agile. But that doesn’t have to be the case. ;https://www.mountaingoatsoftware.com/blog/are-fixed-price-projects-agile
431b7dc2daed862e3690ac198569e605;Oct 12, 2021;Needs, Wants, and Wishes on Your Product Backlog;To prioritize a backlog, think about what users need, what they want, and what they merely wish for.;https://www.mountaingoatsoftware.com/blog/needs-wants-and-wishes-on-your-product-backlog
bca2f50dfbc78eeaf15318a196e56498;Sep 28, 2021;Is It Dangerous to Calculate the Cost per Point?;Calculating a cost per story point comes with risks. Here's what you need to know. ;https://www.mountaingoatsoftware.com/blog/is-it-dangerous-to-calculate-the-cost-per-point
d8f22f9d80ef07accaaa32ef66bbdcf2;Sep 14, 2021;Out of Office;What does working at a “sustainable pace” mean to you?;https://www.mountaingoatsoftware.com/blog/out-of-office
6e5453e2f11228b560043fcfbfbdc037;Aug 24, 2021;The Goal of Sprint Planning;Sprint planning may look like it’s about tasks and estimates but those are not the goal.;https://www.mountaingoatsoftware.com/blog/the-goal-of-sprint-planning
0e0b326b9e37f3c849ef7fe9c1251c16;Aug 10, 2021;When Being Wrong Is Right;Moving forward by admitting your mistakes.;https://www.mountaingoatsoftware.com/blog/when-being-wrong-is-right
0a9973358d945bf1506f1c199602fc84;Jul 27, 2021;Why I Don’t Emphasize Sprint Goals;Sprint goals are considered a mandatory part of Scrum. Here’s why I disagree.;https://www.mountaingoatsoftware.com/blog/why-i-dont-emphasize-sprint-goals
798c3a9579d2496ba53e6bcaeb76fcce;Jun 29, 2021;New: Advanced Certified ScrumMaster now available live, online;We’re excited to announce that you can now take your Advanced Certified ScrumMaster® class (A-CSM) …;https://www.mountaingoatsoftware.com/blog/new-advanced-certified-scrummaster-now-available-live-online
14c233f84cd4af65736ccfc89f3cc2dd;Jun 15, 2021;Should You Re-Estimate Unfinished Stories?;We avoid having unfinished work, but it sometimes happens. Here’s what to do.;https://www.mountaingoatsoftware.com/blog/should-you-re-estimate-unfinished-stories
66e40da0b94e16eeaf52c1a0c37b1473;Jun 01, 2021;The Empirical Retrospective Approach;Do your developers think your retrospectives have become boring? The solution might be as simple as …;https://www.mountaingoatsoftware.com/blog/the-empirical-retrospective-approach
1a8bcfacbfff604bb279d65f7a31842f;May 18, 2021;7 Questions to Determine if Being a Scrum Master Is Right for You;If you’re thinking of a career as a Scrum Master, these 7 questions will help you decide.;https://www.mountaingoatsoftware.com/blog/7-questions-to-determine-if-being-a-scrum-master-is-right-for-you
8470ae4510d20d3300d549c1a6bc7b89;May 04, 2021;What Level of Detail Should Be Captured in a User Story?;Including too much or too little detail in a story causes problems. Here's how to get it right.;https://www.mountaingoatsoftware.com/blog/what-level-of-detail-should-be-captured-in-a-user-story
f8c65b958a01492425ff247e91b7ba2b;Apr 14, 2021;Doors Now Open to Estimating With Story Points (Plus 4 Bonuses);Register for Estimating With Story Points before the deadline and get 4 FREE bonuses;https://www.mountaingoatsoftware.com/blog/doors-now-open-to-estimating-with-story-points-plus-4-bonuses
987b1a0c5b382d783d713e1d02021cd1;Apr 13, 2021;Watch Now: How to Stop People Problems from Hurting Your Estimates;This is the final video in a short training series about story points. Available for a limited time only.;https://www.mountaingoatsoftware.com/blog/watch-now-how-to-stop-people-problems-from-hurting-your-estimates
44aeea215e7093997134cf86497fb7ed;Apr 08, 2021;Watch Now: What to Do When Teams and Stakeholders Want Perfect Estimates;Now available: The second video in a series to help you coach your team on story points;https://www.mountaingoatsoftware.com/blog/watch-now-what-to-do-when-teams-and-stakeholders-want-perfect-estimates
7ae0c5b43e49ceac3c2b5d9050bb4fbc;Apr 06, 2021;Watch Now: Training on Story Points for a Limited Time;More than 5,900 agile professionals took this training! I’m making it available for free until …;https://www.mountaingoatsoftware.com/blog/watch-now-training-on-story-points-for-a-limited-time
13bf5fb8676c25ba15100804d4abc6b3;Mar 30, 2021;Should a Team Assign Work During Sprint Planning?;Some teams assign all tasks upfront. Others don’t. Here’s what works best.;https://www.mountaingoatsoftware.com/blog/should-a-team-assign-work-during-sprint-planning
a3b5369536610914bb7edacc7921a358;Mar 16, 2021;Top 5 changes in the 2020 version of the Scrum Guide;Recently the 2020 version of the Scrum Guide was released. What changes were made that you need to …;https://www.mountaingoatsoftware.com/blog/top-5-changes-in-the-2020-version-of-the-scrum-guide
77220cee3c6818c9ff569324e86cefff;Mar 02, 2021;Three Strategies for Fitting Refactoring into Your Sprints;It can be challenging to find time for refactoring. These approaches will help.;https://www.mountaingoatsoftware.com/blog/three-strategies-for-fitting-refactoring-into-your-sprints
87732d4383eca93a6eee490c7b360261;Feb 17, 2021;My Favorite Resource for Agile Advice, Support, and Answers;If I could make only one recommendation for an agile resource to have in 2021, this would be it…;https://www.mountaingoatsoftware.com/blog/my-favorite-resource-for-agile-advice-support-and-answers
9c7f7baaa4c2b79d4350cced256eed7b;Feb 02, 2021;The Three Types of Requirements on Any Project;Deadlines are often missed because teams fail to consider emergent requirements.;https://www.mountaingoatsoftware.com/blog/the-three-types-of-requirements
942bf1d66e77227b9c621da0098abbaf;Jan 26, 2021;A New Appointment Means New Agile Training Options;Introducing our new SVP of Agile Training and Coaching, Brian Milner.;https://www.mountaingoatsoftware.com/blog/a-new-appointment-means-new-agile-training-options
b36f3299fe3efdd20a33a5660e69f615;Jan 19, 2021;My Most Popular Blog Posts from 2020;I wrote 26 blog posts during 2020. In case you missed some of them, here are the most popular.;https://www.mountaingoatsoftware.com/blog/my-most-popular-blog-posts-from-2020
51c353470adc632f004e5d42bcc4908d;Jan 05, 2021;What Happens When You Use Agile for the Wrong Reasons?;Knowing why you want to achieve will a goal will help you reach it. ;https://www.mountaingoatsoftware.com/blog/what-happens-when-you-use-agile-for-the-wrong-reasons
2ae89da96e478fc715b047296ca19ddf;Dec 08, 2020;Should Your Team Adopt No-Meeting Weeks?;It can be very tempting to schedule a week without any meetings. But there are better ideas.;https://www.mountaingoatsoftware.com/blog/should-your-team-adopt-no-meeting-weeks
60a4be2361c236842bb6e59b96478f38;Oct 21, 2020;Brand New Estimating with Story Points Video Course Now Available;Doors are now open (for a limited time only) to my new course: Estimating with Story Points.;https://www.mountaingoatsoftware.com/blog/brand-new-estimating-with-story-points-video-course-now-available
b46e55258eae50aac7d965183a27a14e;Oct 19, 2020;VIDEO: Overcoming People Problems to Get Good Estimates;In this final video on creating estimates with story points, I help you overcome one of the biggest …;https://www.mountaingoatsoftware.com/blog/video-overcoming-people-problems-to-get-good-estimates
9b83eaf3ef321acad5888eb3910f67ad;Oct 15, 2020;VIDEO: How Teams and Stakeholders Get Hung Up on Perfect Estimates;This video helps you align stakeholder and team expectations when creating estimates (and those …;https://www.mountaingoatsoftware.com/blog/video-how-teams-and-stakeholders-get-hung-up-on-perfect-estimates
24f013c22f7beaf1b9268446fe986242;Oct 13, 2020;VIDEO: Coaching Tips to Stop Teams Equating Points to Hours;Just released: Free videos to help teams solve problems when creating estimates with story points.;https://www.mountaingoatsoftware.com/blog/video-coaching-tips-to-stop-teams-equating-points-to-hours
27503a5e8b91bddf8fea2f4cdf469f81;Oct 06, 2020;Are We Really Bad at Estimating?;It seems like most projects finish late. Here’s why.;https://www.mountaingoatsoftware.com/blog/are-we-really-bad-at-estimating
197634bf168b8a391562845a17c774d9;Sep 29, 2020;A European Time Zone Virtual CSM Course in October;A new CSM course being offered during Europe-friendly hours;https://www.mountaingoatsoftware.com/blog/a-european-time-zone-virtual-csm-course-in-october
